code,hs2,imports,commodity,exports,total
QC,26,1893125346,"Ores, slag & ash",0,1893125346
ON,49,1888634100,Printed books & media,0,1888634100
ON,96,1801261000,Miscellaneous manufactures,0,1801261000
ON,44,1740883225,Wood & wood articles,0,1740883225
AB,87,1723866487,Vehicles,0,1723866487
BC,62,1686744420,Woven apparel,0,1686744420
QC,61,1664134115,Knitted apparel,0,1664134115
AB,39,1655471874,Plastics,0,1655471874
BC,95,1654601399,Toys & sports equipment,0,1654601399
QC,99,1623663257,Confidential / low-value (CA),0,1623663257
AB,73,1585008012,Articles of iron & steel,0,1585008012
ON,42,1568722258,Leather goods,0,1568722258
QC,72,1548231419,Iron & steel,0,1548231419
QC,76,1521847594,Aluminium,0,1521847594
QC,09,1469332781,"Coffee, tea & spices",0,1469332781
AB,90,1423692934,Optical & medical instruments,0,1423692934
BC,72,1412467397,Iron & steel,0,1412467397
BC,26,1412110121,"Ores, slag & ash",0,1412110121
MB,39,1400525766,Plastics,0,1400525766
AB,22,1396281750,Beverages & spirits,0,1396281750
ON,16,1379183886,Prepared meat & fish,0,1379183886
MB,38,1369724764,Misc chemical products,0,1369724764
ON,68,1361546602,Stone & cement articles,0,1361546602
NL,15,1352725465,Animal/veg fats & oils,0,1352725465
ON,35,1350249447,Protein substances,0,1350249447
QC,48,1349516777,Paper & paperboard,0,1349516777
NS,84,1300416283,Machinery & mechanical appliances,0,1300416283
ON,17,1298939635,Sugars,0,1298939635
QC,62,1291756280,Woven apparel,0,1291756280
BC,48,1257240679,Paper & paperboard,0,1257240679
ON,03,1243802395,Fish & seafood,0,1243802395
MB,31,1238478482,Fertilizers,0,1238478482
BC,88,1210518195,Aircraft & spacecraft,0,1210518195
QC,08,1156903067,Fruit & nuts,0,1156903067
BC,44,1131120536,Wood & wood articles,0,1131120536
BC,76,1124672303,Aluminium,0,1124672303
BC,28,1123497009,Inorganic chemicals,0,1123497009
ON,15,1123219278,Animal/veg fats & oils,0,1123219278
ON,63,1104164860,Other made-up textiles,0,1104164860
BC,07,1061926896,Vegetables,0,1061926896
QC,29,1027371478,Organic chemicals,0,1027371478
BC,03,1015818041,Fish & seafood,0,1015818041
SK,85,1000075678,Electrical equipment,0,1000075678
NS,27,996850512,Mineral fuels & oils,0,996850512
NL,27,978606256,Mineral fuels & oils,0,978606256
ON,12,976078801,Oil seeds,0,976078801
ON,04,966801856,Dairy products,0,966801856
MB,73,944156824,Articles of iron & steel,0,944156824
AB,01,936050020,Live animals,0,936050020
BC,22,924669159,Beverages & spirits,0,924669159
ON,69,921718844,Ceramic products,0,921718844
AB,88,920028660,Aircraft & spacecraft,0,920028660
ON,86,917488596,Railway equipment,0,917488596
ON,31,900834904,Fertilizers,0,900834904
QC,33,896942069,Cosmetics & perfumes,0,896942069
SK,38,896048298,Misc chemical products,0,896048298
ON,91,884057552,Clocks & watches,0,884057552
BC,40,868074035,Rubber,0,868074035
BC,64,862415184,Footwear,0,862415184
QC,38,858086297,Misc chemical products,0,858086297
AB,94,856250220,Furniture,0,856250220
